Education,Employment,Age,Sleep,MinsSmartphone
2,2,20,8,330
4,1,28,7,300
2,2,19,7,180
1,3,22,8,240
1,2,28,7,180
4,3,50,6,300
4,3,28,6,150
1,2,21,9,240
1,3,32,6,300
4,3,29,5,180
2,2,21,6,210
5,2,16,7,240
3,3,29,7,180
1,2,22,8,180
1,2,21,7,240
3,3,22,7,465
3,3,25,6,180
3,3,53,7,180
5,2,16,8,210
4,3,30,7,180
1,1,25,7,360
2,2,21,8,150
1,3,29,6,330
2,2,22,6,405
3,3,40,7,180
2,2,18,8,300
2,2,14,8,540
1,3,19,5,330
3,4,30,6,300
3,3,38,8,60
4,2,18,6,300
1,3,26,8,300
4,2,27,7,240
5,2,16,7,525
1,4,25,7,480
1,3,35,7,120
3,3,50,8,180
1,2,25,7,180
4,3,37,9,120
4,3,32,7,300
4,2,18,7,210
4,3,17,6,435
5,2,15,9,180
5,2,13,10,270
4,3,32,6,300
1,2,24,7,420
1,3,28,8,180
1,3,26,9,330
1,3,35,8,210
1,2,33,8,360
3,2,25,9,240
2,2,16,5,630
3,5,50,5,240
3,3,33,7,150
2,2,19,7,480
1,3,22,7,180
4,3,31,8,285
1,3,24,7,420
3,2,23,7,285
3,2,23,8,360
1,3,24,10,435
5,2,17,6,600
4,3,30,7,225
5,2,14,7,135
4,3,26,6,240
3,3,43,8,480
2,5,35,6,300
2,2,17,7,150
5,2,15,7,165
2,3,35,7,240
1,4,23,7,360
3,2,24,7,420
2,2,18,8,345
1,3,27,5,180
1,4,22,9,510
1,2,48,5,270
5,3,31,9,300
1,3,26,8,240
3,2,15,8,840
4,3,18,8,330
1,2,25,5,300
2,3,32,8,180
1,3,35,7,90
2,3,24,6,180
2,2,18,6,285
1,2,25,8,240
1,3,28,7,480
1,3,25,8,240
1,3,29,7,240
1,3,24,6,360
1,3,22,7,180
3,3,31,8,120
1,3,35,7,240
4,5,19,9,720
5,2,16,9,480
5,2,12,7,270
1,3,28,8,600
1,2,20,8,150
4,3,31,6,120
2,2,18,6,285
1,3,30,7,120
2,2,24,7,330
1,2,20,6,300
1,3,24,6,240
5,2,16,7,330
2,2,17,7,240
1,2,22,7,360
5,4,14,7,300
4,2,21,7,180
4,3,40,7,180
2,2,15,9,420
4,2,21,9,180
4,2,21,6,705
1,2,27,2,360
3,3,27,7,180
2,2,20,5,420
1,2,18,6,270
2,2,20,8,360
4,3,26,8,720
3,3,33,7,120
5,2,15,8,420
1,2,35,8,105
2,2,20,7,180
4,3,19,6,225
1,3,25,6,180
3,4,35,6,945
2,2,16,7,180
1,2,26,9,120
5,2,17,5,300
2,3,40,7,240
1,2,22,7,180
5,2,17,5,120
1,4,34,8,300
4,2,16,7,30
2,2,24,8,180
1,2,20,8,600
1,2,28,5,645
5,2,16,8,300
5,2,16,6,300
2,2,20,6,180
1,3,26,6,360
2,2,19,6,510
2,3,24,8,360
2,2,17,7,240
1,2,22,7,240
3,3,23,7,240
1,2,34,8,420
2,2,14,6,630
1,3,29,5,480
2,2,16,9,120
3,4,22,8,360
2,2,17,7,360
5,3,17,7,180
1,4,23,7,420
2,2,17,12,420
4,3,19,7,180
4,3,25,3,360
1,3,28,7,195
4,3,24,6,360
1,3,21,8,240
4,3,43,7,150
1,3,38,6,240
3,3,29,6,360
2,4,25,8,600
1,3,38,7,300
1,2,30,8,120
4,2,28,6,540
3,3,35,6,240
3,3,28,8,300
4,2,21,8,585
3,3,25,9,120
4,2,19,7,300
1,2,18,6,270
2,2,17,6,360
4,2,18,8,540
5,2,17,7,60
5,2,17,7,375
4,2,18,7,945
5,2,15,7,720
1,3,34,9,330
5,2,18,7,600
1,2,20,7,240
3,3,33,7,240
3,3,26,6,180
2,1,32,7,240
2,3,26,8,120
2,1,27,8,150
1,3,37,7,240
1,2,20,8,210
4,2,22,8,150
1,3,32,7,360
2,2,20,7,120
5,2,14,5,600
1,2,22,7,180
1,3,35,7,180
1,2,21,7,900
1,3,26,8,240
5,2,17,4,900
2,2,17,6,705
1,2,30,7,180
5,2,18,6,585
1,3,46,8,120
1,2,26,7,240
1,3,25,6,120
4,3,25,6,120
2,5,28,5,645
4,2,18,9,300
3,3,40,8,270
2,3,21,8,720
5,2,17,8,480
4,2,17,8,270
3,3,32,8,180
3,2,30,8,120
4,3,27,6,150
3,3,28,8,120
2,2,16,10,420
4,2,21,4,540
1,2,20,8,300
5,2,13,10,390
4,3,32,8,180
1,2,20,6,315
2,2,21,7,300
1,4,21,7,240
2,2,17,7,135
5,2,13,8,240
4,3,33,8,180
1,3,28,8,240
5,2,11,7,600
1,2,20,8,420
3,3,26,8,360
1,2,22,4,330
1,3,38,8,150
5,2,16,8,150
2,2,16,8,360
1,3,37,8,195
3,2,25,5,90
2,2,17,8,360
1,3,26,7,120
1,5,50,8,240
5,2,11,11,180
3,3,30,7,240
3,2,25,8,150
2,3,20,8,360
5,2,16,7,360
1,3,20,9,240
4,3,30,8,150
1,2,19,8,240
1,5,42,6,180
2,2,18,8,300
3,3,32,6,300
1,3,30,6,240
1,2,21,6,465
1,2,23,7,240
4,2,19,6,720
5,2,19,8,900
1,3,26,7,330
4,2,19,5,780
1,2,19,6,240