SelfReportEmailMins,SelfReportTotalAppMins,EmotionTimeUsePhonePerDay
0,270,1
0,480,4
0,450,3
0,300,3
0,300,4
60,180,4
15,330,4
30,180,3
30,180,4
0,420,4
30,240,4
0,600,4
0,240,3
15,255,4
60,540,4
0,330,4
60,300,4
15,345,4
0,300,4
15,105,3
30,120,4
15,300,4
0,480,3
0,195,3
0,180,4
0,285,3
60,720,4
15,300,4
30,690,2
0,195,3
0,240,4
0,210,3
30,180,4
60,300,2
0,195,3
0,135,2
0,360,4
15,675,3
0,120,4
15,180,4
30,330,2
0,0,3
0,150,4
0,210,4
30,270,4
30,330,4
0,210,4
15,135,4
0,75,2
0,600,4
60,420,3
120,360,4
0,120,3
15,900,4
60,570,4
0,300,4
0,120,4
15,180,4
0,300,4
30,150,3
0,420,4
30,240,4
15,390,3
15,255,4
30,900,2
0,600,4
0,360,4
15,300,4
0,420,4
0,150,3
15,60,2
15,75,4
15,120,3
30,450,4
0,300,4
15,240,3
0,210,4
15,330,4
15,45,3
15,90,3
15,150,4
15,810,4
30,240,4
15,195,2
15,60,1
0,150,3
0,120,4
15,300,4
30,180,3
30,210,3
15,315,4
30,390,4
15,210,4
0,300,4
30,225,4
60,780,3
30,270,4
0,300,4
45,120,2
0,270,2
30,180,3
60,600,4
15,360,3
0,255,4
15,225,2
0,180,3
15,315,4
0,180,4
15,210,4
0,90,3
0,45,4
0,240,4
0,285,3
15,240,1
30,300,2
60,210,4
600,0,4
15,195,3
0,135,3
0,105,3
30,180,4
15,270,4
15,195,4
0,225,4
0,240,4
0,300,4
0,540,2
0,240,3
0,300,4
30,255,4
15,360,4
15,90,2
0,360,4
60,240,3
45,225,3
45,210,2
0,510,4
0,240,3
15,195,3
60,180,3
30,735,4
30,420,4
15,285,4
45,135,4
60,900,2
60,660,4
30,435,4
15,135,2
15,150,3
15,315,3
15,255,3
30,270,4
60,465,4
15,405,3
15,240,3
15,420,4
15,420,4
60,180,3
135,585,4
0,225,3
15,165,4
15,135,4
30,135,2
30,300,3
15,375,4
15,405,1
0,165,4
60,480,4
30,165,3
0,195,4
0,480,3
15,180,4
0,600,2
30,180,3
15,105,1
0,450,4
15,315,4
15,135,4
15,390,4
15,405,3
0,180,3
15,300,4
0,300,4
0,375,1
30,330,3
60,480,2
15,60,3
0,345,4
0,300,3
0,150,4
0,420,4
15,240,3
30,495,3
0,480,4
0,480,4
0,180,4
60,360,2
0,240,3
0,180,4
15,105,4
30,330,3
30,210,3
75,435,2
0,135,3
0,165,4
30,300,3
30,420,4
0,180,4
30,330,4
0,180,4
60,240,4
30,240,4
30,600,3
120,390,4
30,150,4
0,480,4
15,195,3
15,285,4
0,420,4
0,900,4
30,165,3
15,345,4
180,570,4
0,345,4
0,600,3
30,210,4
15,75,4
0,90,4
60,210,4
30,600,4
0,450,4
0,300,4
15,255,4
0,210,1
15,255,4
0,900,4
30,420,4
60,780,4
30,330,4
30,450,4
15,735,4
60,345,3
60,300,4
15,240,3
15,240,3
0,840,4
15,330,4
0,225,3
0,120,3
15,240,2
0,75,4
0,195,3
0,315,4
0,240,4
15,75,4
15,405,4
0,240,2
0,480,2
15,60,2
0,240,4
30,270,3
30,570,4
30,270,3
0,150,3
240,660,3
30,675,4
15,480,3
0,180,4
15,240,3
0,600,4
15,150,3
60,300,4
0,345,4
15,120,4
0,315,1
15,330,4
30,330,4
15,240,4
0,420,4
30,165,3
15,525,3
60,300,3
0,225,4
0,360,4
0,330,4
0,150,4
0,210,3
0,150,1
0,420,4
15,180,3
15,705,4
15,660,4
60,345,4
0,420,4
15,615,4
0,330,3
30,240,1
15,450,4
15,555,4
15,120,4
0,540,3
15,105,2
0,165,3
45,210,4
0,285,3
60,945,4
0,150,4
15,75,4
15,255,4
30,240,3
0,0,4
0,180,3
15,210,#NULL!
0,420,4
30,570,4
0,15,3
15,120,4
15,615,4
15,345,2
15,90,4
0,660,4
0,315,4
60,600,4
30,180,3
15,315,4
30,510,4
60,600,2
30,240,4
15,270,3
15,240,4
60,420,4
15,735,3
30,495,4
0,300,4
0,345,4
0,180,4
0,120,4
15,585,4
0,270,3
30,210,4
15,375,4
0,300,4
0,1020,4
60,330,4
120,360,4
0,300,4
15,195,4
0,360,4
0,240,2
30,150,1
0,240,4
30,360,4
15,615,4
60,300,3
15,135,4
120,300,3
30,540,4
0,255,4
0,825,3
60,300,4
60,720,4
60,180,4
0,300,4
30,270,4
0,360,4
0,540,4
15,60,1
0,360,4
0,0,4
0,600,4
0,615,1
15,495,3
30,180,3
120,360,4
0,180,3
60,240,4
30,180,4
0,240,4
15,90,3
0,150,3
0,240,4
15,210,3
30,210,3
0,420,4
30,150,4
0,600,4
30,240,4
60,180,4
0,1020,4
15,240,4
0,600,4
60,360,4
30,795,2
0,180,4
45,465,4
15,240,2
60,555,3
30,150,4
60,240,4
60,150,2
60,870,4
15,120,4
120,645,4
0,330,3
30,270,3
30,180,2
15,720,3
0,720,4
30,510,4
15,375,4
15,420,3
0,180,3
0,270,4
15,180,4
0,120,4
30,150,3
30,120,4
0,420,4
0,525,4
0,255,3
0,435,4
15,180,3
0,300,4
0,300,3
0,360,4
0,180,4
0,150,3
0,240,4
0,300,4
0,180,4
75,240,3
0,480,3
30,165,4
0,420,3
0,420,4
15,345,4
45,225,2
0,150,3
15,120,2
0,360,4
30,150,4
15,105,4
0,360,4
15,150,2
60,240,3
0,240,1
60,240,4
0,150,4
0,495,3
15,450,4
0,360,4
30,270,4
0,150,4
15,270,4
60,1020,3
60,240,3
0,315,4
0,330,4
60,300,4
0,195,4
15,345,4
15,855,4
0,300,2
0,705,4
0,855,4
0,330,3
0,840,2
0,180,3
