SelfReportMessagingMins,SelfReportTotalAppMins,EmotionTimeUsePhonePerDay
60,270,1
60,480,4
60,450,3
60,300,3
120,300,4
0,180,4
75,330,4
30,180,3
60,180,4
120,420,4
0,240,4
300,600,4
120,240,3
60,255,4
60,540,4
150,330,4
60,300,4
30,345,4
120,300,4
30,105,3
60,120,4
60,300,4
180,480,3
120,195,3
60,180,4
60,285,3
60,720,4
60,300,4
300,690,2
15,195,3
30,240,4
60,210,3
60,180,4
60,300,2
0,195,3
30,135,2
180,360,4
120,675,3
45,120,4
30,180,4
120,330,2
0,0,3
15,150,4
120,210,4
60,270,4
180,330,4
45,210,4
45,135,4
15,75,2
180,600,4
120,420,3
180,360,4
45,120,3
0,900,4
60,570,4
90,300,4
15,120,4
45,180,4
60,300,4
60,150,3
120,420,4
30,240,4
105,390,3
60,255,4
30,900,2
360,600,4
0,360,4
45,300,4
240,420,4
30,150,3
15,60,2
15,75,4
60,120,3
30,450,4
60,300,4
90,240,3
30,210,4
120,330,4
30,45,3
15,90,3
45,150,4
360,810,4
60,240,4
60,195,2
15,60,1
0,150,3
60,120,4
45,300,4
0,180,3
60,210,3
120,315,4
45,390,4
30,210,4
30,300,4
120,225,4
420,780,3
60,270,4
0,300,4
0,120,2
135,270,2
0,180,3
240,600,4
30,360,3
120,255,4
120,225,2
0,180,3
60,315,4
0,180,4
60,210,4
15,90,3
0,45,4
120,240,4
60,285,3
15,240,1
60,300,2
60,210,4
0,0,4
60,195,3
45,135,3
30,105,3
60,180,4
60,270,4
120,195,4
60,225,4
240,240,4
60,300,4
60,540,2
60,240,3
0,300,4
120,255,4
30,360,4
15,90,2
120,360,4
0,240,3
60,225,3
75,210,2
90,510,4
0,240,3
0,195,3
60,180,3
180,735,4
180,420,4
60,285,4
0,135,4
300,900,2
60,660,4
120,435,4
60,135,2
90,150,3
60,315,3
60,255,3
60,270,4
120,465,4
180,405,3
30,240,3
30,420,4
60,420,4
30,180,3
0,585,4
15,225,3
30,165,4
30,135,4
15,135,2
120,300,3
60,375,4
120,405,1
0,165,4
60,480,4
15,165,3
45,195,4
60,480,3
30,180,4
300,600,2
30,180,3
15,105,1
30,450,4
0,315,4
60,135,4
60,390,4
60,405,3
30,180,3
60,300,4
0,300,4
0,375,1
60,330,3
120,480,2
0,60,3
30,345,4
0,300,3
30,150,4
90,420,4
15,240,3
60,495,3
240,480,4
240,480,4
60,180,4
90,360,2
0,240,3
60,180,4
30,105,4
0,330,3
60,210,3
30,435,2
15,135,3
15,165,4
30,300,3
90,420,4
60,180,4
90,330,4
60,180,4
60,240,4
0,240,4
120,600,3
30,390,4
60,150,4
240,480,4
30,195,3
75,285,4
120,420,4
300,900,4
60,165,3
150,345,4
120,570,4
15,345,4
120,600,3
60,210,4
15,75,4
0,90,4
90,210,4
240,600,4
30,450,4
0,300,4
30,255,4
60,210,1
60,255,4
300,900,4
60,420,4
60,780,4
240,330,4
180,450,4
300,735,4
45,345,3
60,300,4
30,240,3
45,240,3
240,840,4
0,330,4
45,225,3
120,120,3
15,240,2
30,75,4
0,195,3
180,315,4
0,240,4
30,75,4
15,405,4
0,240,2
15,480,2
0,60,2
30,240,4
120,270,3
300,570,4
120,270,3
15,150,3
120,660,3
240,675,4
0,480,3
0,180,4
15,240,3
60,600,4
30,150,3
60,300,4
45,345,4
30,120,4
90,315,1
30,330,4
60,330,4
60,240,4
60,420,4
30,165,3
60,525,3
120,300,3
45,225,4
180,360,4
120,330,4
0,150,4
45,210,3
60,150,1
120,420,4
15,180,3
180,705,4
420,660,4
120,345,4
300,420,4
90,615,4
15,330,3
0,240,1
45,450,4
0,555,4
30,120,4
240,540,3
30,105,2
45,165,3
0,210,4
60,285,3
60,945,4
30,150,4
60,75,4
120,255,4
120,240,3
0,0,4
60,180,3
15,210,#NULL!
30,420,4
270,570,4
0,15,3
30,120,4
60,615,4
15,345,2
15,90,4
180,660,4
15,315,4
60,600,4
75,180,3
120,315,4
180,510,4
120,600,2
30,240,4
60,270,3
30,240,4
60,420,4
120,735,3
120,495,4
15,300,4
120,345,4
0,180,4
0,120,4
60,585,4
60,270,3
60,210,4
0,375,4
15,300,4
60,1020,4
120,330,4
0,360,4
0,300,4
0,195,4
120,360,4
120,240,2
15,150,1
0,240,4
60,360,4
240,615,4
30,300,3
60,135,4
60,300,3
60,540,4
15,255,4
345,825,3
60,300,4
60,720,4
60,180,4
45,300,4
30,270,4
30,360,4
180,540,4
15,60,1
0,360,4
540,0,4
30,600,4
105,615,1
120,495,3
30,180,3
60,360,4
60,180,3
0,240,4
60,180,4
60,240,4
15,90,3
30,150,3
60,240,4
15,210,3
60,210,3
300,420,4
15,150,4
0,600,4
60,240,4
60,180,4
360,1020,4
60,240,4
300,600,4
120,360,4
60,795,2
60,180,4
60,465,4
60,240,2
120,555,3
0,150,4
30,240,4
30,150,2
180,870,4
0,120,4
285,645,4
60,330,3
30,270,3
60,180,2
120,720,3
120,720,4
0,510,4
60,375,4
120,420,3
30,180,3
30,270,4
60,180,4
120,120,4
60,150,3
30,120,4
60,420,4
45,525,4
60,255,3
75,435,4
45,180,3
60,300,4
60,300,3
120,360,4
0,180,4
30,150,3
0,240,4
0,300,4
90,180,4
45,240,3
60,480,3
15,165,4
60,420,3
60,420,4
120,345,4
45,225,2
30,150,3
30,120,2
60,360,4
60,150,4
30,105,4
60,360,4
15,150,2
15,240,3
0,240,1
60,240,4
60,150,4
120,495,3
15,450,4
30,360,4
60,270,4
60,150,4
30,270,4
240,1020,3
60,240,3
15,315,4
60,330,4
60,300,4
15,195,4
180,345,4
180,855,4
60,300,2
45,705,4
255,855,4
120,330,3
300,840,2
60,180,3
