SelfReportSocialMediaMins,SelfReportTotalAppMins,EmotionTimeUsePhonePerDay
180,270,1
300,480,4
210,450,3
240,300,3
120,300,4
0,180,4
240,330,4
120,180,3
60,180,4
180,420,4
120,240,4
240,600,4
60,240,3
180,255,4
120,540,4
180,330,4
180,300,4
180,345,4
180,300,4
60,105,3
0,120,4
150,300,4
180,480,3
60,195,3
0,180,4
165,285,3
240,720,4
30,300,4
180,690,2
0,195,3
120,240,4
120,210,3
60,180,4
60,300,2
180,195,3
15,135,2
180,360,4
240,675,3
15,120,4
120,180,4
90,330,2
0,0,3
0,150,4
30,210,4
180,270,4
60,330,4
165,210,4
15,135,4
0,75,2
300,600,4
180,420,3
60,360,4
60,120,3
30,900,4
120,570,4
90,300,4
0,120,4
0,180,4
180,300,4
0,150,3
0,420,4
180,240,4
210,390,3
180,255,4
660,900,2
240,600,4
180,360,4
240,300,4
180,420,4
60,150,3
15,60,2
0,75,4
15,120,3
120,450,4
240,300,4
15,240,3
60,210,4
180,330,4
0,45,3
60,90,3
90,150,4
240,810,4
30,240,4
30,195,2
30,60,1
120,150,3
60,120,4
150,300,4
60,180,3
120,210,3
180,315,4
150,390,4
165,210,4
270,300,4
60,225,4
300,780,3
180,270,4
180,300,4
15,120,2
135,270,2
60,180,3
60,600,4
15,360,3
0,255,4
0,225,2
120,180,3
120,315,4
180,180,4
90,210,4
30,90,3
45,45,4
120,240,4
225,285,3
0,240,1
120,300,2
30,210,4
0,0,4
120,195,3
90,135,3
30,105,3
60,180,4
180,270,4
60,195,4
120,225,4
0,240,4
60,300,4
195,540,2
60,240,3
120,300,4
45,255,4
135,360,4
15,90,2
120,360,4
120,240,3
120,225,3
30,210,2
420,510,4
60,240,3
30,195,3
60,180,3
180,735,4
180,420,4
90,285,4
45,135,4
300,900,2
360,660,4
240,435,4
60,135,2
30,150,3
150,315,3
180,255,3
180,270,4
120,465,4
120,405,3
30,240,3
240,420,4
300,420,4
30,180,3
450,585,4
60,225,3
90,165,4
90,135,4
30,135,2
150,300,3
180,375,4
180,405,1
120,165,4
300,480,4
120,165,3
90,195,4
60,480,3
120,180,4
300,600,2
120,180,3
30,105,1
60,450,4
180,315,4
60,135,4
240,390,4
180,405,3
120,180,3
180,300,4
240,300,4
255,375,1
60,330,3
120,480,2
30,60,3
300,345,4
180,300,3
60,150,4
150,420,4
120,240,3
60,495,3
180,480,4
120,480,4
60,180,4
90,360,2
120,240,3
60,180,4
30,105,4
300,330,3
60,210,3
210,435,2
90,135,3
120,165,4
180,300,3
120,420,4
60,180,4
210,330,4
30,180,4
60,240,4
0,240,4
180,600,3
60,390,4
60,150,4
240,480,4
120,195,3
180,285,4
210,420,4
300,900,4
60,165,3
120,345,4
240,570,4
0,345,4
120,600,3
90,210,4
0,75,4
15,90,4
60,210,4
180,600,4
60,450,4
240,300,4
15,255,4
120,210,1
120,255,4
300,900,4
120,420,4
120,780,4
0,330,4
240,450,4
180,735,4
210,345,3
180,300,4
60,240,3
180,240,3
120,840,4
180,330,4
120,225,3
0,120,3
60,240,2
15,75,4
180,195,3
0,315,4
0,240,4
30,75,4
180,405,4
60,240,2
45,480,2
30,60,2
30,240,4
120,270,3
180,570,4
120,270,3
120,150,3
180,660,3
360,675,4
420,480,3
0,180,4
0,240,3
240,600,4
75,150,3
120,300,4
225,345,4
30,120,4
165,315,1
45,330,4
180,330,4
150,240,4
330,420,4
90,165,3
30,525,3
120,300,3
180,225,4
180,360,4
180,330,4
90,150,4
75,210,3
90,150,1
240,420,4
30,180,3
30,705,4
180,660,4
120,345,4
0,420,4
360,615,4
300,330,3
30,240,1
90,450,4
60,555,4
60,120,4
180,540,3
45,105,2
90,165,3
0,210,4
60,285,3
825,945,4
120,150,4
0,75,4
60,255,4
0,240,3
0,0,4
60,180,3
30,420,4
270,570,4
15,15,3
60,120,4
240,615,4
240,345,2
45,90,4
360,660,4
240,315,4
60,600,4
0,180,3
180,315,4
90,510,4
180,600,2
120,240,4
15,270,3
90,240,4
120,420,4
510,735,3
240,495,4
15,300,4
180,345,4
0,180,4
0,120,4
240,585,4
120,270,3
90,210,4
0,375,4
120,300,4
360,1020,4
60,330,4
0,360,4
0,300,4
0,195,4
120,360,4
120,240,2
90,150,1
225,240,4
150,360,4
90,615,4
120,300,3
60,135,4
60,300,3
120,540,4
180,255,4
270,825,3
180,300,4
480,720,4
60,180,4
15,300,4
90,270,4
180,360,4
180,540,4
0,60,1
0,360,4
660,0,4
60,600,4
195,615,1
180,495,3
60,180,3
60,360,4
60,180,3
0,240,4
0,180,4
180,240,4
30,90,3
120,150,3
180,240,4
180,210,3
30,210,3
120,420,4
45,150,4
600,600,4
150,240,4
60,180,4
180,1020,4
120,240,4
300,600,4
120,360,4
480,795,2
60,180,4
30,465,4
120,240,2
135,555,3
0,150,4
120,240,4
0,150,2
180,870,4
45,120,4
180,645,4
180,330,3
60,270,3
0,180,2
480,720,3
60,720,4
60,510,4
120,375,4
180,420,3
120,180,3
90,270,4
30,180,4
0,120,4
60,150,3
60,120,4
180,420,4
120,525,4
60,255,3
300,435,4
0,180,3
240,300,4
120,300,3
120,360,4
0,180,4
30,150,3
240,240,4
120,300,4
0,180,4
120,240,3
240,480,3
60,165,4
180,420,3
120,420,4
90,345,4
120,225,2
60,150,3
30,120,2
240,360,4
60,150,4
0,105,4
60,360,4
0,150,2
0,240,3
0,240,1
120,240,4
60,150,4
45,495,3
30,450,4
180,360,4
180,270,4
30,150,4
210,270,4
135,1020,3
120,240,3
0,315,4
150,330,4
60,300,4
180,195,4
120,345,4
615,855,4
180,300,2
0,705,4
480,855,4
180,330,3
300,840,2
120,180,3
